OPV1	5995709.165	5563309.024	0.2121
OPV2	5994826.922	5561499.601	0.0894
OPV3	5994030.833	5561611.114	0.0322
OPV4	5993206.394	5561920.504	0.0322
OPV5	5993964.427	5560316.272	0.0211
OPV6	5994540.158	5560079.348	0.0173
OPV7	5995316.003	5560098.600	0.0153
OPV9	5993070.146	5559120.138	0.0269
OPV10	5992997.597	5560714.140	0.0274
OPV11	5992424.310	5560406.857	0.0300
OPV12	5992265.547	5559192.144	0.0374
OPV13	5991524.363	5560260.113	0.0350
OPV14	5992403.664	5561688.935	0.0327
OPV15	5992250.524	5563344.915	0.0290
OPV16	5991324.566	5561807.663	0.0412
OPV18	5989034.760	5564856.757	0.0097
OPV19	5988918.879	5563497.677	0.0301
OPV20	5989756.364	5565104.879	0.0136
OPV21	5991298.397	5564647.821	0.0209
OPV22	5992082.154	5564706.883	0.0240
OPV23	5993131.514	5564602.019	0.0280
OPV24	5993917.802	5564491.509	0.0363
OPV25	5994673.475	5564700.396	0.0483
OPV26	5995488.169	5564492.140	0.0680
OPV27	5993812.395	5563184.264	0.0297
OPV28	5993191.621	5563353.954	0.0287
OPV29	5991275.262	5563344.967	0.0320
OPV30	5988246.965	5558875.729	0.0108
OPV31	5987379.283	5559109.153	0.0153
OPV32	5986632.227	5560530.518	0.0306
OPV33	5987179.393	5560479.236	0.0250
OPV34	5987121.437	5561852.164	0.0412
OPV35	5988177.883	5560509.336	0.0264
OPV36	5988775.546	5559024.157	0.0190
OPV37	5989621.709	5557401.117	0.0273
OPV38	5990651.358	5558842.973	0.0368
OPV39	5991281.971	5558625.558	0.0361
OPV40	5990534.928	5560124.696	0.0319
OPV41	5989688.060	5560347.441	0.0297
OPV42	5988894.143	5560538.760	0.0280
OPV43	5995558.704	5557445.955	0.0254
OPV44	5994472.233	5557746.550	0.0357
OPV45	5995421.740	5558977.128	0.0075
OPV46	5993687.330	5557342.662	0.0400
OPV47	5994039.479	5558660.247	0.0253
OPV48	5992955.675	5557461.578	0.0407
OPV49	5992217.097	5557351.609	0.0520
OPV50	5991378.077	5557415.852	0.0623
OPV51	5990703.027	5557428.102	0.0460
OPV52	5988682.590	5557512.179	0.0152
OPV54	5987182.000	5557843.000	0.0345
OPV55	5986577.500	5557745.000	0.0418
OPV56	5986401.519	5558823.862	0.0284
OPV57	5986640.897	5562186.749	0.0533
OPV58	5986612.225	5563365.488	0.0909
OPV59	5986566.482	5564915.564	0.2467
OPV60	5987139.479	5564545.569	0.0411
OPV61	5987315.054	5563288.779	0.0831
OPV62	5987967.522	5563620.500	0.0321
OPV63	5987911.221	5564846.046	0.0190
OPV64	5990708.033	5565083.724	0.3010
OPV65	5994942.694	5563491.831	0.0335
OPV66	5995521.343	5561921.964	0.0339
OPV67	5990786.354	5563035.041	0.0336
OPV68	5989929.249	5563333.343	0.0383
OPV69	5990546.296	5561760.835	0.0367
OPV70	5989615.860	5561829.732	0.0410
OPV71	5988737.995	5561811.855	0.0388
OPV72	5988191.344	5561816.026	0.0381
OPV73	5989878.527	5558869.234	0.0296
PP1	5992979.331	5557804.329	0.0372
PP2	5992191.688	5557866.108	0.0490
PP3	5991906.944	5557575.166	0.0563
PP4	5990937.233	5557611.280	0.0500
PP5	5989750.118	5558135.175	0.0275
PP6	5986834.500	5557501.000	0.0443
PP7	5986851.856	5558126.577	0.0270
PP8	5986204.500	5557905.500	0.0434
PP9	5992658.865	5560420.462	0.0286
PP10	5992330.304	5559783.350	0.0318
PP11	5992030.264	5559513.366	0.0348
PP12	5992093.208	5559297.008	0.0365
PP13	5991974.344	5559260.008	0.0363
PP14	5991765.649	5559582.217	0.0348
PP15	5990596.726	5558655.136	0.0369
PP16	5988513.459	5558729.107	0.0141
PP17	5990841.032	5560804.674	0.0346
PP18	5989201.613	5561525.200	0.0383
PP19	5988423.695	5561857.650	0.0386
PP20	5987483.500	5558810.500	0.0177
PP21	5987254.967	5561025.500	0.0291
PP23	5986658.539	5561483.399	0.0426
PP24	5986814.744	5561909.167	0.0485
PP25	5986645.306	5561942.146	0.0496
PP26	5986994.215	5561873.162	0.0425
PP27	5995292.489	5561997.379	0.0341
PP28	5994887.540	5561817.497	0.0325
PP29	5994441.339	5563110.187	0.0297
PP30	5986657.546	5562419.533	0.0571
PP31	5987126.628	5562585.013	0.0575
PP32	5986943.690	5562619.746	0.0590
PP33	5986828.617	5562628.967	0.0600
PP34	5986869.460	5562786.225	0.0646
PP35	5986952.867	5562773.387	0.0649
PP36	5986969.547	5562873.531	0.0683
PP37	5986769.609	5562904.541	0.0709
PP38	5986892.278	5563226.459	0.0817
PP39	5986912.127	5563350.503	0.0863
PP40	5992944.110	5564058.694	0.0272
PP41	5992924.414	5565466.972	0.0333
PP42	5988222.485	5563816.121	0.0285
PP43	5988022.541	5564256.998	0.0242
PP44	5988031.173	5564788.700	0.0178
PP45	5987936.744	5564221.663	0.0269
PP46	5987786.531	5564206.591	0.0302
PP47	5987392.817	5564222.729	0.0382
PP48	5987368.659	5564743.583	0.0339
PP49	5987420.236	5564803.026	0.0313
PP50	5986972.974	5564802.580	0.1136
PP51	5986846.405	5564846.638	0.1509
PP52	5986823.572	5564797.930	0.1530
PP53	5986532.741	5564947.369	0.2603
PP54	5986624.906	5565217.857	0.2662
PP55	5986867.795	5565084.818	0.2046
PP56	5987090.950	5564948.249	0.1406
PP57	5987196.126	5564921.548	0.1122
PP58	5987241.736	5563304.570	0.0835
PP59	5986713.544	5562638.189	0.0612
PP60	5989981.000	5565120.500	0.0161
PP61	5987342.882	5564742.977	0.0410
PP99	5986582.500	5561173.000	0.0385
